stratum_type,stratum_value,year,best_k_by_bic,all_year_best_k_by_bic,best_k_matches_all_year,n_rows,smallest_cluster_rows,eta2_tmax_anomaly,stability_note
month,3,2016,6,6,true,114,4,0.5996232368826447,Year best-k matches all-year best-k.
month,4,2016,6,6,true,98,4,0.6518382894229142,Year best-k matches all-year best-k.
month,5,2016,6,6,true,110,4,0.5272992544551092,Year best-k matches all-year best-k.
month,6,2016,6,6,true,106,8,0.6870312240345153,Year best-k matches all-year best-k.
month,7,2016,6,6,true,89,8,0.6542957473056668,Year best-k matches all-year best-k.
month,8,2016,6,6,true,104,4,0.6924568449832538,Year best-k matches all-year best-k.
month,9,2016,6,6,true,116,7,0.5516329341746542,Year best-k matches all-year best-k.
season,DJF,2016,6,6,true,316,29,0.1685247242056762,Year best-k matches all-year best-k.
season,JJA,2016,6,6,true,299,8,0.46426987924106783,Year best-k matches all-year best-k.
season,MAM,2016,6,6,true,322,23,0.5750744540929039,Year best-k matches all-year best-k.
season,SON,2016,6,6,true,337,43,0.4767611964552845,Year best-k matches all-year best-k.
month,1,2017,6,6,true,112,4,0.22697926710308938,Year best-k matches all-year best-k.
month,10,2017,6,6,true,117,8,0.30468077493358586,Year best-k matches all-year best-k.
month,11,2017,6,6,true,108,4,0.4483995037220843,Year best-k matches all-year best-k.
month,12,2017,6,6,true,108,8,0.7011641926109285,Year best-k matches all-year best-k.
