month,regime_label,cp,cooling_mechanism,n_rows,mean_remaining_warming,mean_tmax_anomaly,fixed_minus_2_trigger_rate,median_min_delta_t_per_h,underpowered_n_lt_30
7,southerly_disrupted,23:00,southerly_frontal,10,0.6,-2.751724137931034,1.0,-4.0,true
7,standard_nw,20:00,no_material_cooling,44,3.3181818181818183,0.6391849529780568,0.0,-1.0,false
7,standard_nw,21:00,no_material_cooling,41,3.2439024390243905,0.5360807401177463,0.0,-1.0,false
7,standard_nw,22:00,no_material_cooling,42,2.8095238095238093,0.5482758620689658,0.0,-1.0,false
7,standard_nw,23:00,no_material_cooling,42,1.7857142857142858,0.5482758620689658,0.0,-1.0,false
7,strong_nw_foehn,20:00,no_material_cooling,14,1.5,1.1911330049261086,0.0,0.0,true
7,strong_nw_foehn,21:00,no_material_cooling,12,1.4166666666666667,1.4649425287356326,0.0,0.0,true
7,strong_nw_foehn,22:00,no_material_cooling,10,0.9,1.3482758620689659,0.0,0.0,true
7,strong_nw_foehn,23:00,no_material_cooling,10,0.5,1.3482758620689659,0.0,0.0,true
8,calm_radiative,20:00,no_material_cooling,15,2.2666666666666666,-0.08464419475655435,0.0,0.0,true
8,calm_radiative,21:00,no_material_cooling,16,2.1875,0.032022471910112316,0.0,-0.5,true
8,calm_radiative,22:00,no_material_cooling,16,1.8125,-0.15547752808988768,0.0,-0.5,true
8,calm_radiative,23:00,no_material_cooling,19,1.4736842105263157,-0.0074512123004140006,0.0,-1.0,true
8,insufficient,20:00,insufficient_obs,3,0.0,-2.884644194756554,0.0,,true
8,insufficient,20:00,no_material_cooling,1,4.0,-0.21797752808988768,0.0,-1.0,true
8,insufficient,21:00,insufficient_obs,3,0.0,-2.884644194756554,0.0,,true
8,insufficient,22:00,insufficient_obs,3,0.0,-2.884644194756554,0.0,,true
8,insufficient,23:00,insufficient_obs,3,0.0,-2.884644194756554,0.0,,true
8,southerly_disrupted,20:00,ambiguous_cooling,6,2.0,-1.051310861423221,1.0,-4.0,true
8,southerly_disrupted,20:00,no_material_cooling,300,2.6566666666666667,-0.05797752808988768,0.0,-2.0,false
8,southerly_disrupted,20:00,radiative_pre_dawn,26,3.730769230769231,-0.2949006050129646,1.0,-4.0,true
8,southerly_disrupted,20:00,southerly_frontal,12,1.0833333333333333,-2.884644194756554,1.0,-4.0,true
8,southerly_disrupted,21:00,ambiguous_cooling,8,1.5,-0.8429775280898877,1.0,-4.0,true
8,southerly_disrupted,21:00,no_material_cooling,301,2.4186046511627906,-0.06183134868789433,0.0,-2.0,false
8,southerly_disrupted,21:00,radiative_pre_dawn,26,3.5,-0.2949006050129646,1.0,-4.0,true
8,southerly_disrupted,21:00,southerly_frontal,12,1.0833333333333333,-2.884644194756554,1.0,-4.0,true
8,southerly_disrupted,22:00,ambiguous_cooling,8,1.5,-0.8429775280898877,1.0,-4.0,true
8,southerly_disrupted,22:00,no_material_cooling,301,1.8338870431893688,-0.04854231214304383,0.0,-2.0,false
8,southerly_disrupted,22:00,post_dawn_advective,1,0.0,0.7820224719101123,1.0,-4.0,true
8,southerly_disrupted,22:00,radiative_pre_dawn,26,3.0384615384615383,-0.2949006050129646,1.0,-4.0,true
8,southerly_disrupted,22:00,southerly_frontal,13,0.8461538461538461,-2.6795159896283494,1.0,-4.0,true
8,southerly_disrupted,23:00,ambiguous_cooling,8,1.25,-0.8429775280898877,1.0,-4.0,true
8,southerly_disrupted,23:00,no_material_cooling,298,1.2684563758389262,-0.056903702586531976,0.0,-2.0,false
