month,cp,wind_sector,n_obs,n_days,total_obs,share,mean_sknt
10,20:00,S,1141,143,7682,0.1485290288987243,15.740578439964944
10,20:00,SE,362,70,7682,0.04712314501431919,8.726519337016574
10,20:00,SW,119,51,7682,0.015490757615204374,11.260504201680673
10,20:00,W,57,33,7682,0.007419942723249154,7.842105263157895
10,21:00,E,124,53,8542,0.014516506672910325,3.2983870967741935
10,21:00,N,5152,399,8542,0.6031374385389838,14.447010869565217
10,21:00,NE,954,207,8542,0.1116834464996488,6.772536687631027
10,21:00,NW,414,120,8542,0.04846640131116835,13.620772946859903
10,21:00,S,1292,150,8542,0.15125263404354952,15.680340557275542
10,21:00,SE,396,75,8542,0.04635916647155233,8.777777777777779
10,21:00,SW,145,61,8542,0.01697494731912901,10.668965517241379
10,21:00,W,65,40,8542,0.007609459143057832,7.476923076923077
10,22:00,E,134,58,9398,0.014258352841030006,3.4402985074626864
10,22:00,N,5687,401,9398,0.6051287507980422,14.621944786354844
10,22:00,NE,981,209,9398,0.10438391147052564,6.801223241590214
10,22:00,NW,458,124,9398,0.04873377314322196,13.87117903930131
10,22:00,S,1467,161,9398,0.15609704192381357,15.493524199045671
10,22:00,SE,424,78,9398,0.04511598212385614,8.915094339622641
10,22:00,SW,170,74,9398,0.01808895509682911,10.3
10,22:00,W,77,46,9398,0.008193232602681422,7.5064935064935066
10,23:00,E,142,60,10256,0.013845553822152886,3.6338028169014085
10,23:00,N,6216,402,10256,0.6060842433697348,14.862290862290862
10,23:00,NE,997,210,10256,0.09721138845553823,6.796389167502507
10,23:00,NW,497,134,10256,0.0484594383775351,14.030181086519114
10,23:00,S,1660,175,10256,0.16185647425897035,15.29578313253012
10,23:00,SE,453,83,10256,0.044169266770670824,9.19205298013245
10,23:00,SW,203,82,10256,0.019793291731669268,10.068965517241379
10,23:00,W,88,50,10256,0.00858034321372855,7.909090909090909
11,20:00,E,97,55,7483,0.012962715488440465,3.020618556701031
11,20:00,N,4096,347,7483,0.5473740478417747,14.730712890625
11,20:00,NE,719,181,7483,0.09608445810503809,7.226703755215577
