month,regime_label,cp,tmax_hour_bucket,n_rows,total_rows,bucket_share,underpowered_n_lt_30
7,southerly_disrupted,20:00,between_13_17,128,361,0.3545706371191136,false
7,southerly_disrupted,21:00,after_17,11,367,0.02997275204359673,false
7,southerly_disrupted,21:00,before_13,226,367,0.6158038147138964,false
7,southerly_disrupted,21:00,between_13_17,130,367,0.3542234332425068,false
7,southerly_disrupted,22:00,after_17,11,370,0.02972972972972973,false
7,southerly_disrupted,22:00,before_13,228,370,0.6162162162162163,false
7,southerly_disrupted,22:00,between_13_17,131,370,0.35405405405405405,false
7,southerly_disrupted,23:00,after_17,11,370,0.02972972972972973,false
7,southerly_disrupted,23:00,before_13,228,370,0.6162162162162163,false
7,southerly_disrupted,23:00,between_13_17,131,370,0.35405405405405405,false
7,standard_nw,20:00,before_13,28,44,0.6363636363636364,false
7,standard_nw,20:00,between_13_17,16,44,0.36363636363636365,false
7,standard_nw,21:00,before_13,26,41,0.6341463414634146,false
7,standard_nw,21:00,between_13_17,15,41,0.36585365853658536,false
7,standard_nw,22:00,before_13,26,42,0.6190476190476191,false
7,standard_nw,22:00,between_13_17,16,42,0.38095238095238093,false
7,standard_nw,23:00,before_13,26,42,0.6190476190476191,false
7,standard_nw,23:00,between_13_17,16,42,0.38095238095238093,false
7,strong_nw_foehn,20:00,before_13,12,14,0.8571428571428571,true
7,strong_nw_foehn,20:00,between_13_17,2,14,0.14285714285714285,true
7,strong_nw_foehn,21:00,before_13,10,12,0.8333333333333334,true
7,strong_nw_foehn,21:00,between_13_17,2,12,0.16666666666666666,true
7,strong_nw_foehn,22:00,before_13,9,10,0.9,true
7,strong_nw_foehn,22:00,between_13_17,1,10,0.1,true
7,strong_nw_foehn,23:00,before_13,9,10,0.9,true
7,strong_nw_foehn,23:00,between_13_17,1,10,0.1,true
8,calm_radiative,20:00,after_17,1,15,0.06666666666666667,true
8,calm_radiative,20:00,before_13,7,15,0.4666666666666667,true
8,calm_radiative,20:00,between_13_17,7,15,0.4666666666666667,true
8,calm_radiative,21:00,after_17,1,16,0.0625,true
8,calm_radiative,21:00,before_13,7,16,0.4375,true
8,calm_radiative,21:00,between_13_17,8,16,0.5,true
8,calm_radiative,22:00,after_17,1,16,0.0625,true
8,calm_radiative,22:00,before_13,8,16,0.5,true
8,calm_radiative,22:00,between_13_17,7,16,0.4375,true
8,calm_radiative,23:00,after_17,2,19,0.10526315789473684,true
8,calm_radiative,23:00,before_13,8,19,0.42105263157894735,true
8,calm_radiative,23:00,between_13_17,9,19,0.47368421052631576,true
8,insufficient,20:00,after_17,1,4,0.25,true
8,insufficient,20:00,before_13,3,4,0.75,true
8,insufficient,21:00,after_17,1,3,0.3333333333333333,true
8,insufficient,21:00,before_13,2,3,0.6666666666666666,true
8,insufficient,22:00,after_17,1,3,0.3333333333333333,true
8,insufficient,22:00,before_13,2,3,0.6666666666666666,true
8,insufficient,23:00,after_17,1,3,0.3333333333333333,true
8,insufficient,23:00,before_13,2,3,0.6666666666666666,true
8,southerly_disrupted,20:00,after_17,7,344,0.020348837209302327,false
8,southerly_disrupted,20:00,before_13,218,344,0.6337209302325582,false
8,southerly_disrupted,20:00,between_13_17,119,344,0.34593023255813954,false
8,southerly_disrupted,21:00,after_17,7,347,0.020172910662824207,false
8,southerly_disrupted,21:00,before_13,221,347,0.6368876080691642,false
8,southerly_disrupted,21:00,between_13_17,119,347,0.34293948126801155,false
8,southerly_disrupted,22:00,after_17,7,349,0.02005730659025788,false
8,southerly_disrupted,22:00,before_13,221,349,0.6332378223495702,false
8,southerly_disrupted,22:00,between_13_17,121,349,0.3467048710601719,false
8,southerly_disrupted,23:00,after_17,7,348,0.020114942528735632,false
8,southerly_disrupted,23:00,before_13,221,348,0.6350574712643678,false
8,southerly_disrupted,23:00,between_13_17,120,348,0.3448275862068966,false
8,standard_nw,20:00,after_17,1,68,0.014705882352941176,false
8,standard_nw,20:00,before_13,44,68,0.6470588235294118,false
8,standard_nw,20:00,between_13_17,23,68,0.3382352941176471,false
8,standard_nw,21:00,after_17,1,66,0.015151515151515152,false
8,standard_nw,21:00,before_13,43,66,0.6515151515151515,false
8,standard_nw,21:00,between_13_17,22,66,0.3333333333333333,false
8,standard_nw,22:00,after_17,1,63,0.015873015873015872,false
8,standard_nw,22:00,before_13,41,63,0.6507936507936508,false
8,standard_nw,22:00,between_13_17,21,63,0.3333333333333333,false
8,standard_nw,23:00,before_13,40,61,0.6557377049180327,false
8,standard_nw,23:00,between_13_17,21,61,0.3442622950819672,false
8,strong_nw_foehn,20:00,before_13,9,14,0.6428571428571429,true
8,strong_nw_foehn,20:00,between_13_17,5,14,0.35714285714285715,true
8,strong_nw_foehn,21:00,before_13,8,13,0.6153846153846154,true
8,strong_nw_foehn,21:00,between_13_17,5,13,0.38461538461538464,true
8,strong_nw_foehn,22:00,before_13,9,14,0.6428571428571429,true
8,strong_nw_foehn,22:00,between_13_17,5,14,0.35714285714285715,true
8,strong_nw_foehn,23:00,before_13,10,14,0.7142857142857143,true
8,strong_nw_foehn,23:00,between_13_17,4,14,0.2857142857142857,true
9,calm_radiative,20:00,before_13,9,12,0.75,true
9,calm_radiative,20:00,between_13_17,3,12,0.25,true
9,calm_radiative,21:00,before_13,8,11,0.7272727272727273,true
9,calm_radiative,21:00,between_13_17,3,11,0.2727272727272727,true
9,calm_radiative,22:00,before_13,6,10,0.6,true
9,calm_radiative,22:00,between_13_17,4,10,0.4,true
9,calm_radiative,23:00,before_13,8,12,0.6666666666666666,true
9,calm_radiative,23:00,between_13_17,4,12,0.3333333333333333,true
9,southerly_disrupted,20:00,after_17,5,334,0.014970059880239521,false
9,southerly_disrupted,20:00,before_13,188,334,0.562874251497006,false
9,southerly_disrupted,20:00,between_13_17,141,334,0.4221556886227545,false
9,southerly_disrupted,21:00,after_17,5,340,0.014705882352941176,false
9,southerly_disrupted,21:00,before_13,191,340,0.5617647058823529,false
